Time,Status,Long,Lat,Alt
1593297898,A,-82.4139742,36.3678858,473.3
1593297898,A,-82.413953,36.3678677,473.4
1593297898,A,-82.413932,36.3678495,473.5
1593297898,A,-82.4139112,36.3678313,473.5
1593297899,A,-82.4138905,36.3678132,473.6
1593297899,A,-82.4138697,36.3677948,473.6
1593297899,A,-82.413849,36.3677767,473.7
1593297899,A,-82.4138285,36.3677585,473.8
1593297899,A,-82.4138083,36.36774,473.9
1593297899,A,-82.4137878,36.3677218,474
1593297899,A,-82.4137677,36.367704,474.1
1593297899,A,-82.4137475,36.367686,474.1
1593297899,A,-82.4137273,36.367668,474.2
1593297899,A,-82.4137068,36.3676502,474.3
1593297900,A,-82.413687,36.3676313,474.4
1593297900,A,-82.4136675,36.3676128,474.4
1593297900,A,-82.413648,36.3675947,474.4
1593297900,A,-82.4136282,36.3675763,474.5
1593297900,A,-82.4136087,36.367558,474.6
1593297900,A,-82.4135893,36.3675398,474.7
1593297900,A,-82.41357,36.3675215,474.8
1593297900,A,-82.4135508,36.367503,474.9
1593297900,A,-82.4135315,36.3674848,474.9
1593297900,A,-82.4135125,36.3674665,475
1593297901,A,-82.4134933,36.3674482,475.1
1593297901,A,-82.4134742,36.3674298,475.2
1593297901,A,-82.4134552,36.3674112,475.3
1593297901,A,-82.413436,36.3673927,475.4
1593297901,A,-82.413417,36.3673743,475.5
1593297901,A,-82.4133982,36.3673557,475.6
1593297901,A,-82.4133792,36.3673372,475.7
1593297901,A,-82.4133605,36.3673185,475.8
1593297901,A,-82.4133418,36.3673,475.9
1593297901,A,-82.4133232,36.3672812,476
1593297902,A,-82.4133047,36.3672625,476.1
1593297902,A,-82.413286,36.3672438,476.2
1593297902,A,-82.4132675,36.367225,476.3
1593297902,A,-82.4132493,36.3672062,476.5
1593297902,A,-82.4132308,36.3671873,476.6
1593297902,A,-82.4132125,36.3671685,476.7
1593297902,A,-82.4131942,36.3671495,476.8
1593297902,A,-82.4131762,36.3671307,477
1593297902,A,-82.413158,36.3671118,477.1
1593297902,A,-82.4131398,36.3670927,477.2
1593297903,A,-82.4131218,36.3670737,477.3
1593297903,A,-82.4131038,36.3670545,477.4
1593297903,A,-82.413086,36.3670353,477.5
1593297903,A,-82.4130682,36.3670162,477.6
1593297903,A,-82.4130503,36.3669968,477.7
1593297903,A,-82.4130327,36.3669777,477.8
1593297903,A,-82.413015,36.3669582,477.9
1593297903,A,-82.4129975,36.3669388,478
1593297903,A,-82.4129798,36.3669193,478.1
1593297903,A,-82.4129623,36.3668998,478.2
1593297904,A,-82.412945,36.3668803,478.3
1593297904,A,-82.4129275,36.366861,478.4
1593297904,A,-82.4129102,36.3668415,478.5
1593297904,A,-82.4128928,36.3668217,478.6
1593297904,A,-82.4128757,36.3668022,478.7
1593297904,A,-82.4128585,36.3667825,478.8
1593297904,A,-82.4128413,36.3667627,479
1593297904,A,-82.4128242,36.366743,479.1
1593297904,A,-82.412807,36.3667233,479.3
1593297904,A,-82.4127902,36.3667035,479.4
1593297905,A,-82.4127733,36.3666835,479.5
1593297905,A,-82.4127563,36.3666638,479.6
1593297905,A,-82.4127395,36.366644,479.8
1593297905,A,-82.4127228,36.3666242,479.9
1593297905,A,-82.412706,36.3666043,480
1593297905,A,-82.4126893,36.3665845,480.2
1593297905,A,-82.4126727,36.3665643,480.4
1593297905,A,-82.412656,36.3665443,480.5
1593297905,A,-82.4126397,36.3665242,480.6
1593297905,A,-82.4126233,36.3665038,480.8
1593297906,A,-82.412607,36.3664837,480.9
1593297906,A,-82.4125907,36.3664637,480.9
1593297906,A,-82.4125742,36.3664435,481
1593297906,A,-82.4125582,36.3664233,481.2
1593297906,A,-82.412542,36.366403,481.2
1593297906,A,-82.4125258,36.3663828,481.3
1593297906,A,-82.4125097,36.3663625,481.4
1593297906,A,-82.4124937,36.366343,481.6
1593297906,A,-82.4124777,36.3663228,481.7
1593297906,A,-82.4124615,36.366303,481.8
1593297907,A,-82.4124453,36.3662828,482
1593297907,A,-82.4124292,36.366263,482.1
1593297907,A,-82.4124133,36.3662427,482.2
1593297907,A,-82.4123972,36.3662222,482.3
1593297907,A,-82.4123815,36.3662018,482.4
1593297907,A,-82.4123653,36.3661813,482.5
1593297907,A,-82.4123497,36.3661607,482.6
1593297907,A,-82.412334,36.3661403,482.7
1593297907,A,-82.4123182,36.3661197,482.8
1593297907,A,-82.4123023,36.3660993,482.9
1593297908,A,-82.4122867,36.366079,483
1593297908,A,-82.412271,36.3660587,483.1
1593297908,A,-82.4122555,36.3660382,483.2
1593297908,A,-82.41224,36.3660178,483.3
1593297908,A,-82.4122245,36.3659975,483.4
1593297908,A,-82.4122092,36.3659773,483.5
1593297908,A,-82.4121937,36.3659573,483.6
1593297908,A,-82.4121782,36.3659373,483.7
1593297908,A,-82.4121628,36.3659173,483.8
1593297908,A,-82.4121477,36.3658973,483.9
1593297909,A,-82.4121323,36.3658773,484
1593297909,A,-82.4121172,36.3658575,484.1
1593297909,A,-82.4121023,36.3658375,484.2
1593297909,A,-82.4120873,36.3658175,484.3
1593297909,A,-82.4120727,36.3657973,484.3
1593297909,A,-82.4120573,36.3657778,484.3
1593297909,A,-82.4120425,36.365758,484.5
1593297909,A,-82.4120275,36.3657383,484.5
1593297909,A,-82.4120123,36.3657185,484.6
1593297909,A,-82.4119973,36.3656988,484.7
1593297910,A,-82.4119822,36.3656792,484.8
1593297910,A,-82.4119672,36.3656595,484.9
1593297910,A,-82.4119522,36.3656397,485
1593297910,A,-82.411937,36.3656198,485.1
1593297910,A,-82.4119217,36.3656002,485.1
1593297910,A,-82.4119065,36.3655803,485.3
1593297910,A,-82.4118913,36.3655607,485.3
1593297910,A,-82.4118762,36.3655408,485.4
1593297910,A,-82.411861,36.3655212,485.5
1593297910,A,-82.4118458,36.3655017,485.7
1593297911,A,-82.4118307,36.3654818,485.7
1593297911,A,-82.4118153,36.3654622,485.8
1593297911,A,-82.4118002,36.3654425,486
1593297911,A,-82.4117848,36.3654228,486
1593297911,A,-82.4117695,36.3654033,486.2
1593297911,A,-82.4117542,36.3653837,486.3
1593297911,A,-82.4117388,36.365364,486.4
1593297911,A,-82.4117235,36.3653443,486.6
1593297911,A,-82.4117082,36.3653248,486.7
1593297911,A,-82.4116927,36.3653052,486.8
1593297912,A,-82.4116773,36.3652855,486.9
1593297912,A,-82.411662,36.3652658,487
